Zoning Authority,Project Status,Developer Name,Project Type,Project Name ,Project End Date,Escrow Agent Name ,No:of buildings,Project Status,Project Start Date,Master Project,No:of Units,No:of Villas,Area Name ,Percent Completed
Dubai Municipality,ACTIVE,First District - Free Zone,buildings,Naya in District One,30-09-2027,Dubai Islamic Bank (Public Joint Stock Company),4,effective,28-10-2023,Mohammed Bin Rashid AL Maktoum City -District -1 Community,456,0,Al Merkadh,7
Dubai Development Authority,ACTIVE,North Real Estate LLC,buildings,Ethan,30-06-2026,First Abu Dhabi Bank PJSC,1,effective,20-06-2024,Nad Al Sheba Gardens,48,0,Nad Al Shiba First,46
Dubai South,PENDING,Dubai Aviation City Corporation,buildings,Unique One,30-12-2026,Emirates Islamic Bank Public Joint Stock Company,1,Under registration,01-09-2025,Dubai South Residential District,43,0,Madinat Al Mataar,0
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Park View Tower,17-11-2021,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-02-2015,Jumeirah Village Circle,280,0,Al Barsha South Fourth,100
Dubai Silicon Oasis Authority,FINISHED,Dubai Integrated Economic Zones Authority,buildings,Linux,22-05-2018,Commercial Bank of Dubai (P.S.C.),2,success,12-12-2007,Silicon Oasis,238,0,Nadd Hessa,100
Dubai Development Authority,ACTIVE,Dubai Healthcare City Free Zone LLC,buildings,Kempinski Residences The Creek,10-07-2025,Dubai Islamic Bank (Public Joint Stock Company),2,effective,20-02-2017,Dubai Health Care City Phase 2,282,0,Al Jadaf,98
Dubai Municipality,ACTIVE,Shoba LLC,villas,Shuba Estates,31-12-2027,Mashreq Bank (Public Joint Stock Company),0,effective,10-10-2023,,0,0,Bukadra,35
Licenses,FINISHED,Al Farjan (LLC),villas,Al-Farjan 4,03-08-2016,Mashreq Bank (Public Joint Stock Company),0,success,19-10-2014,Al Furjan,0,0,Jabal Ali First,100
Dubai Development Authority,FINISHED,Dubai Hills Estate LLC,Villa complex,Maple 2,30-09-2019,Dubai Islamic Bank (Public Joint Stock Company),1,success,28-12-2016,Dubai Hills Estate,0,666,Hadaeq Sheikh Mohammed Bin Rashid,100
Dubai Development Authority,NOT_STARTED,Nakheel Company (P.S.C.),buildings,Cove Grand Residence by Franchise,15-12-2027,Ajman Bank PJSC,1,under construction,30-05-2025,Dubai Land Residence Complex,538,0,Wadi Al Safa 5,0
Licenses,PENDING,Nakheel Company (P.S.C.),villas,Water View Villas by Alexander Properties,15-03-2025,Mashreq Bank (Public Joint Stock Company),0,Under registration,15-03-2024,Jumeirah Park,0,0,Al Thanyah Fifth,30
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Q Point Liwan - R093,23-07-2014,Mashreq Bank (Public Joint Stock Company),1,success,01-07-2009,Liwan1,65,0,Wadi Al Safa 2,100
Dubai Development Authority,ACTIVE,Emaar Properties (P.S.C.),buildings,Euphoric Residences,31-12-2027,Emirates NBD Bank (P.S.C.),1,effective,01-01-2024,DownTown Dubai,276,0,Burj Khalifa,6
Dubai Development Authority,FINISHED,Damac Crescent Properties (LLC),villas,Damac Hills - Queens Meadow,21-02-2016,Abu Dhabi Commercial Bank,0,success,01-07-2013,DAMAC HILLS,0,0,Al Hebiah Third,100
Dubai Development Authority,ACTIVE,Maras Real Estate (LLC),buildings,Mayfair Gardens,14-08-2026,Emirates NBD Bank (P.S.C.),1,effective,15-08-2024,Jumeirah Garden City,64,0,Al Satwa,2
Dubai Development Authority,ACTIVE,Al Jazeera Real Estate Oasis (LLC),buildings,Damac Lagoons - Lagoon Views 9,31-03-2027,First Abu Dhabi Bank PJSC,2,effective,21-08-2024,,108,0,Al Hebiah Fifth,13
Licenses,ACTIVE,Nakheel Company (P.S.C.),buildings,Como Residences,27-03-2027,Commercial Bank of Dubai (P.S.C.),1,effective,27-09-2023,Palm Jumeirah,76,0,Palm Jumeirah,11
Dubai South,FINISHED,Emaar Dubai South DWC LLC,Villa complex,Green View 3,31-10-2025,Abu Dhabi Commercial Bank,0,success,19-08-2022,Dubai World Central,0,241,Madinat Al Mataar,100
Dubai Municipality,NOT_STARTED,Emaar Development (Public Shareholding Company),villas,Grand Polo - Chevalia Estate,28-02-2029,Abu Dhabi Commercial Bank,0,under construction,27-03-2025,,0,0,Dubai Investment Park Second,0
Dubai Development Authority,ACTIVE,Dubai Creek Harbour LLC,buildings,Palace Residences Creek Blue,31-03-2029,Abu Dhabi Commercial Bank,2,effective,01-08-2024,Dubai Creek Harbour,512,0,Al Khairan First,2
Licenses,FINISHED,Jumeirah Golf Estates LLC,buildings,Andalusia Building,04-04-2020,Commercial Bank of Dubai (P.S.C.),1,success,15-05-2017,Jumeirah Golf Estates,136,0,Me'Aisem First,100
Dubai Development Authority,NOT_STARTED,Dubai Properties (LLC),buildings,Vellore,01-11-2027,Emirates Islamic Bank Public Joint Stock Company,1,under construction,01-05-2025,Business Bay,52,0,Business Bay,0
Dubai Development Authority,FINISHED,Maras Real Estate (LLC),Villa complex,Sur Lamir 2,07-11-2022,Emirates NBD Bank (P.S.C.),0,success,24-07-2019,LA MER,0,34,Jumeirah First,100
Dubai Development Authority,FINISHED,Dubai Hills Estate LLC,buildings,Parkfield,15-12-2025,Emirates Islamic Bank Public Joint Stock Company,2,success,06-10-2022,Dubai Hills Estate,306,0,Hadaeq Sheikh Mohammed Bin Rashid,100
Dubai Development Authority,NOT_STARTED,Liwan (LLC),buildings,Reem by Vision,31-12-2026,National Bank of Fujairah PJSC,1,under construction,31-05-2025,Liwan1,200,0,Wadi Al Safa 2,0
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Thai Tower,31-01-2026,Abu Dhabi Commercial Bank,1,effective,01-06-2023,Jumeirah Village Triangle,239,0,Al Barsha South Fifth,31
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Zabeel Saray,10-11-2009,#VALUE!,1,success,24-11-2008,Palm Jumeirah,1,38,Palm Jumeirah,100
Dubai Development Authority,NOT_STARTED,DHAM Free Zone LLC,buildings,Benghatti Hill Views,01-04-2026,Abu Dhabi Islamic Bank,1,under construction,01-10-2024,Dubai Science Park,1575,0,Al Barshaa South Second,0
Dubai Development Authority,PENDING,Maras Real Estate (LLC),buildings,"Solaya (5,7)",30-06-2029,Commercial Bank of Dubai (P.S.C.),0,Under registration,30-01-2026,LA MER,0,0,Jumeirah First,0
Dubai Municipality,ACTIVE,Midan Group (LLC),buildings,Royal Manor,15-12-2018,Dubai Islamic Bank (Public Joint Stock Company),1,effective,15-09-2016,Meydan Racecourse Community,36,0,Nad Al Shiba First,78
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,Ambassador Tower 2,29-08-2017,Noor Bank (Public Shareholding Company),1,success,01-03-2014,Business Bay,185,0,Business Bay,100
Dubai Development Authority,NOT_STARTED,"Nashama Real Estate, owned by Nashmi Development, a single-person company LLC.",buildings,Alton,31-05-2028,First Abu Dhabi Bank PJSC,1,under construction,01-11-2025,TOWN SQUARE,149,0,Al Yelayiss 2,0
Dubai Municipality,FINISHED,Dubai Multi Commodities Centre,buildings,City Tower,14-11-2007,#VALUE!,1,success,26-08-2007,Jumeirah Lakes Towers,205,0,Al Thanyah Fifth,100
Dubai Development Authority,FINISHED,TECOM Investments Free Zone LLC,buildings,The beautiful,27-05-2014,#VALUE!,1,success,06-03-2008,Sufouh Gardens,48,0,Al Safouh First,100
Dubai Development Authority,ACTIVE,Dubai Properties (LLC),buildings,montage,31-08-2027,Arab Bank for Investment and Foreign Trade (Public Shareholding Company),1,effective,01-09-2024,Jaddaf Waterfront,233,0,Al Jadaf,3
Dubai Municipality,FINISHED,Dubai Multi Commodities Centre,buildings,Jumeirah Business Centre 5,06-01-2010,Abu Dhabi Commercial Bank,1,success,04-02-2007,Jumeirah Lakes Towers,295,0,Al Thanyah Fifth,100
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,Sundus Sage,30-06-2016,#VALUE!,1,success,31-01-2016,Dubai Land Residence Complex,0,0,Wadi Al Safa 5,100
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Dear Riviera 33,13-09-2023,Abu Dhabi Commercial Bank,1,success,01-10-2017,Meydan One Community,204,0,Al Merkadh,100
Dubai Municipality,ACTIVE,JAG Development LLC,buildings,A South Garden,31-12-2027,Emirates NBD Bank (P.S.C.),1,effective,01-01-2025,Wasl Gate,260,0,Jabal Ali First,1
Dubai Municipality,FINISHED,First District - Free Zone,buildings,"Mohammed Bin Rashid Al Maktoum City, District One, Phase Three, Residences 2",31-01-2022,Dubai Islamic Bank (Public Joint Stock Company),1,success,01-12-2017,Mohammed Bin Rashid AL Maktoum City -District -1 Community,31,0,Al Merkadh,100
Licenses,NOT_STARTED,Jumeirah Village (LLC),buildings,Floria of the sky,31-12-2028,Abu Dhabi Commercial Bank,1,under construction,01-08-2025,Jumeirah Village Circle,200,0,Al Barsha South Fourth,0
Dubai Development Authority,ACTIVE,Business Bay (LLC),buildings,Crown Canal 2,31-03-2027,Abu Dhabi Islamic Bank,1,effective,08-08-2023,Business Bay,351,0,Business Bay,15
Dubai Development Authority,ACTIVE,Jumeirah Bay LLC,buildings,Bulgari Lighthouse Dubai,27-03-2027,Commercial Bank of Dubai (P.S.C.),1,effective,07-02-2023,Jumeira Bay,31,0,Island 2,23
Dubai Municipality,FINISHED,Nakheel Company (P.S.C.),buildings,Swiss Tower,04-10-2010,Amlak Finance (Public Joint Stock Company),1,success,18-12-2006,Jumeirah Lakes Towers,177,0,Al Thanyah Fifth,100
Dubai Municipality,NOT_STARTED,Damac Miri Investments LLC,buildings,Damac Riverside Views - Indigo 2,31-03-2029,Mashreq Bank (Public Joint Stock Company),3,under construction,11-08-2025,,388,0,Dubai Investment Park Second,0
Dubai Development Authority,FINISHED,The Lagoons Phase One LLC,buildings,Icon Bay 17,30-11-2022,Dubai Islamic Bank (Public Joint Stock Company),2,success,24-10-2017,Dubai Creek Harbour,383,0,Al Khairan First,100
Dubai Development Authority,FINISHED,PDLM Residential LLC,buildings,Larif,19-10-2022,Dubai Islamic Bank (Public Joint Stock Company),4,success,15-06-2019,LA MER,284,0,Jumeirah First,100
Dubai Development Authority,FINISHED,Abwab Real Estate Company Limited (LLC),Villa complex,Corissa 2 Villas,08-03-2024,Commercial Bank of Dubai (P.S.C.),0,success,01-07-2022,,0,57,Wadi Al Safa 3,100
Licenses,NOT_STARTED,Al Nakheelah - Deera (LLC),buildings,Tomorrow 166,31-05-2027,Abu Dhabi Islamic Bank,1,under construction,01-06-2025,Palm Deira,54,0,Palm Deira,0
Dubai Development Authority,FINISHED,Dubai Land (LLC),villas,Western Residence - South,25-06-2009,#VALUE!,0,success,20-02-2007,Falcon City,0,0,Wadi Al Safa 2,100
Licenses,PENDING,Nakheel Company (P.S.C.),buildings,Coptic Heights 2,01-05-2027,Al Marriah Local Bank LLC,1,Under registration,01-05-2025,Al Furjan,83,0,Jabal Ali First,0
Licenses,FINISHED,Al Farjan (LLC),buildings,Aziz Plaza Hotel Apartments,31-05-2020,Abu Dhabi Commercial Bank,1,success,01-09-2016,Al Furjan,448,0,Jabal Ali First,100
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Greenland Residence by Arloid,10-08-2021,Dubai Islamic Bank (Public Joint Stock Company),1,success,20-12-2015,Mohammed Bin Rashid AL Maktoum District 11,60,0,Wadi Al Safa 3,100
Dubai Development Authority,NOT_STARTED,Damac Elite Investments LLC,villas,Damac Islands - Bali 3,30-06-2029,Emirates NBD Bank (P.S.C.),0,under construction,01-10-2025,,0,0,Al Yelayiss 1,0
Dubai Development Authority,FINISHED,Business Bay (LLC),buildings,Zada Tower,30-06-2023,Abu Dhabi Commercial Bank,1,success,15-04-2019,Business Bay,703,0,Business Bay,100
Licenses,ACTIVE,Jumeirah Village (LLC),Villa complex,The Veranda Collection 2,07-04-2026,Abu Dhabi Commercial Bank,0,effective,15-10-2024,Jumeirah Village Circle,0,13,Al Barsha South Fourth,26
Licenses,NOT_STARTED,Jumeirah Village (LLC),buildings,Trevino,30-06-2027,Emirates NBD Bank (P.S.C.),1,under construction,01-08-2025,Jumeirah Village Circle,109,0,Al Barsha South Fourth,0
Dubai Development Authority,ACTIVE,DHRA2 BTS LLC,villas,The Acres 2 and Estates 2,03-05-2028,Emirates NBD Bank (P.S.C.),0,effective,03-05-2025,,0,0,Wadi Al Safa 7,1
Dubai Development Authority,ACTIVE,Al Jazeera Real Estate Oasis (LLC),buildings,Damac Lagoons - Lagoon Views 2,,First Abu Dhabi Bank PJSC,3,effective,06-04-2024,,162,0,Al Hebiah Fifth,12
Dubai Municipality,FINISHED,Midan Group (LLC),buildings,Sobha Heartland Waves,31-03-2024,Commercial Bank of Dubai (P.S.C.),1,success,03-01-2021,SOBHA HARTLAND,604,0,Al Merkadh,100
Dubai Development Authority,NOT_STARTED,Damac Elite Investments LLC,villas,Damac Islands - Bora Bora 1,31-12-2028,Emirates NBD Bank (P.S.C.),0,under construction,21-04-2025,,0,0,Al Yelayiss 1,0
Dubai Silicon Oasis Authority,FINISHED,Dubai Integrated Economic Zones Authority,buildings,Taj Sevanam,14-11-2009,Bank of Baroda,1,success,23-03-2008,Silicon Oasis,126,0,Nadd Hessa,100
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Azur Line Residence by MAS Development,31-03-2027,Abu Dhabi Commercial Bank,1,effective,01-01-2025,Jumeirah Village Circle,205,0,Al Barsha South Fourth,16
Licenses,ACTIVE,Jumeirah Village (LLC),buildings,Winner Tower,,Abu Dhabi Islamic Bank,1,effective,15-03-2024,Jumeirah Village Triangle,138,0,Al Barsha South Fifth,14
Dubai Development Authority,NOT_STARTED,Majid Al Futtaim Integrated Cities Projects UAE LLC,buildings,Celia,,Emirates NBD Bank (P.S.C.),10,under construction,27-12-2024,,546,0,Wadi Al Safa 4,0
Licenses,FINISHED,Jumeirah Village (LLC),Villa complex,Wistar Azure,05-07-2023,First Abu Dhabi Bank PJSC,0,success,25-05-2022,Jumeirah Village Circle,0,13,Al Barsha South Fourth,100
Licenses,FINISHED,Al Farjan (LLC),buildings,Dear Tulip,07-05-2016,Abu Dhabi Commercial Bank,1,success,30-10-2014,Al Furjan,97,0,Jabal Ali First,100
Dubai Municipality,ACTIVE,Midan Group (LLC),Villa complex,Karl Lagerfeld's villas are luxurious,,First Abu Dhabi Bank PJSC,0,effective,01-09-2024,Mohammed Bin Rashid AL Maktoum District 11,0,51,Wadi Al Safa 3,1
Dubai South,PENDING,Dubai Aviation City Corporation,buildings,Creswell Homes,30-12-2026,Emirates NBD Bank (P.S.C.),1,Under registration,01-12-2024,Dubai South Residential District,70,0,Madinat Al Mataar,0
Dubai Municipality,ACTIVE,Al Farjan (LLC),buildings,API - Barsha Residential Tower,31-10-2025,Emirates NBD Bank (P.S.C.),1,effective,17-08-2021,,335,0,Al Barsha First,88
Licenses,NOT_STARTED,Nakheel Company (P.S.C.),villas,F Palm Jebel Ali - The Palm,17-01-2028,Emirates NBD Bank (P.S.C.),0,under construction,14-01-2025,Palm Jabal Ali,0,0,Palm Jabal Ali,0
Dubai Development Authority,FINISHED,TECOM Investments Free Zone LLC,buildings,Glitz Residence 3,28-02-2018,Abu Dhabi Islamic Bank,2,success,01-06-2015,Dubai Studio City,421,0,Al Hebiah Second,100
Dubai Development Authority,ACTIVE,Business Bay (LLC),buildings,Crown Canal,28-02-2027,Abu Dhabi Islamic Bank,1,effective,01-08-2023,Business Bay,327,0,Business Bay,18
Dubai Development Authority,ACTIVE,Dubai Sports City (LLC),buildings,Samana Golf Views,,Emirates NBD Bank (P.S.C.),1,effective,01-01-2024,Dubai Sports City,243,0,Al Hebiah Fourth,7
Dubai Municipality,FINISHED,Emaar Properties (P.S.C.),buildings,Burj Dubai,18-07-2011,#VALUE!,2,success,21-04-2009,Burj Khalifa,28,0,Burj Khalifa,100
Dubai Silicon Oasis Authority,NOT_STARTED,Dubai Integrated Economic Zones Authority,buildings,Aura Yelit,30-04-2026,Dubai Islamic Bank (Public Joint Stock Company),1,under construction,01-09-2024,Silicon Oasis,86,0,Nadd Hessa,0
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Aura from Groovy,11-08-2024,Bank of Baroda,1,success,17-05-2022,Jumeirah Village Circle,151,0,Al Barsha South Fourth,100
Dubai Development Authority,ACTIVE,Dubai Land (LLC),Villa complex,Janan from Dar 3,30-03-2028,First Abu Dhabi Bank PJSC,0,effective,30-04-2024,,0,292,Wadi Al Safa 5,3
Dubai Development Authority,NOT_STARTED,Damac Crescent Properties (LLC),villas,Damac Hills - Ivory,30-06-2028,Abu Dhabi Commercial Bank,0,under construction,01-09-2025,DAMAC HILLS,0,0,Al Hebiah Third,0
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Tuscan Residences 1 - Arezzo,15-01-2011,#VALUE!,2,success,16-07-2008,Jumeirah Village Circle,199,0,Al Barsha South Fourth,100
Dubai Development Authority,PENDING,Maras Real Estate (LLC),buildings,Jad 288,31-12-2027,Dubai Islamic Bank (Public Joint Stock Company),3,Under registration,01-12-2025,Jumeirah Garden City,222,0,Al Satwa,0
Dubai Silicon Oasis Authority,FINISHED,Dubai Integrated Economic Zones Authority,buildings,Silicon Heights,04-08-2011,Mashreq Bank (Public Joint Stock Company),1,success,15-03-2009,Silicon Oasis,279,0,Nadd Hessa,100
Dubai Development Authority,ACTIVE,Emaar Development (Public Shareholding Company),Villa complex,The Valley - Nima,,Emirates NBD Bank (P.S.C.),0,effective,17-11-2023,,0,520,Al Yufrah 1,36
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Sunrise Boulevard 12,12-07-2010,#VALUE!,0,success,01-05-2009,Liwan1,0,6,Wadi Al Safa 2,100
Dubai Development Authority,FINISHED,Maras Real Estate (LLC),buildings,Martil,01-04-2025,Commercial Bank of Dubai (P.S.C.),1,success,01-06-2022,City Walk,130,0,Al Wasl,100
Dubai Development Authority,PENDING,DHAM Free Zone LLC,buildings,Coventry Residence,30-11-2027,Abu Dhabi Islamic Bank,1,Under registration,30-09-2025,,163,0,Saih Shuaib 2,0
Dubai Municipality,ACTIVE,Maras Real Estate (LLC),buildings,De Milgrano,31-12-2026,Abu Dhabi Commercial Bank,1,effective,01-11-2024,Dubai Water Canal,14,0,Jumeirah Second,6
Dubai Development Authority,PENDING,DHAM Free Zone LLC,buildings,Alder in Park Five,31-12-2027,Abu Dhabi Commercial Bank,1,Under registration,01-03-2026,International Media Production Zone,75,0,Me'Aisem First,0
Dubai Municipality,PENDING,Midan Group (LLC),buildings,Mindan Vista,20-10-2027,Mashreq Bank (Public Joint Stock Company),2,Under registration,20-10-2025,,372,0,Bukadra,0
Dubai Municipality,ACTIVE,Dubai Investments Park Development Company (LLC),Villa complex,"A Royal Estate, Plot 2 Phase",06-08-2022,Mashreq Bank (Public Joint Stock Company),0,effective,06-04-2021,Dubai Investment Park First,0,96,Dubai Investment Park First,74
Licenses,FINISHED,Jumeirah Village (LLC),buildings,Concept 7 Residential,15-08-2024,Abu Dhabi Commercial Bank,1,success,15-02-2023,Jumeirah Village Circle,160,0,Al Barsha South Fourth,100
Dubai Development Authority,ACTIVE,Jumeirah Hills Development LLC,buildings,Jumana,30-04-2026,Emirates NBD Bank (P.S.C.),8,effective,30-04-2023,,326,0,Um Suqaim Third,46
Dubai Development Authority,FINISHED,Ramram LLC,buildings,Lincoln Park,07-07-2014,Abu Dhabi Commercial Bank,3,success,01-04-2010,Arjan,519,0,Al Barshaa South Third,100
Licenses,FINISHED,Nakheel Company (P.S.C.),buildings,Emirates Park 2 - Maple,23-01-2012,#VALUE!,2,success,09-02-2008,Jumeirah Village Circle,183,0,Al Barsha South Fourth,100
Dubai Development Authority,PENDING,Dubai Industrial City LLC,buildings,Covenry Residence 3,01-11-2027,Procedure Participant Ar,0,Under registration,01-11-2025,,0,0,Saih Shuaib 2,0
Dubai Municipality,NOT_STARTED,JAG Development LLC,buildings,E South Garden,31-05-2028,Emirates NBD Bank (P.S.C.),1,under construction,31-10-2025,Wasl Gate,256,0,Jabal Ali First,0
Licenses,ACTIVE,Al Farjan (LLC),buildings,Equity Garden,13-12-2025,Abu Dhabi Commercial Bank,1,effective,14-12-2023,Al Furjan,133,0,Jabal Ali First,61
Dubai Municipality,FINISHED,Shoba LLC,buildings,Shoba Hartland Greens - Stage 1,18-09-2018,Abu Dhabi Islamic Bank,2,success,01-09-2014,SOBHA HARTLAND,168,0,Al Merkadh,100
Dubai Development Authority,ACTIVE,Dubai Land Residences (LLC),buildings,AG9 Nine,,Emirates NBD Bank (P.S.C.),1,effective,31-01-2024,Dubai Land Residence Complex,260,0,Wadi Al Safa 5,15
Dubai Development Authority,FINISHED,Dubai Properties (LLC),buildings,Dubai Wharf - Tower 1,30-03-2017,Mashreq Bank (Public Joint Stock Company),1,success,30-10-2014,Jaddaf Waterfront,128,0,Al Jadaf,100
Dubai Development Authority,ACTIVE,Dubai Hills Estate LLC,villas,Park Gate 2,28-02-2027,Emirates NBD Bank (P.S.C.),0,effective,17-06-2025,DUBAI HILLS,0,0,Hadaeq Sheikh Mohammed Bin Rashid,2
